id,name,genres,popularity,followers
6s22t5Y3prQHyaHWUN1R1C,AJR,['pov: indie'],73,3460480
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,['pop'],92,100291604
0urTpYCsixqZwgNTkPJOJ4,Aaliyah,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",69,4548436
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap']",86,15065573
711MCceyCBcFnzjGY4Q7Un,AC/DC,"['australian rock', 'hard rock', 'rock']",84,29544827
06HL4z0CvFAxyc27GXpf02,Taylor Swift,['pop'],100,123299629
2R21vXR83lH98kGeO99Y66,Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",88,38164742
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",87,26827663
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,['classic oklahoma country'],91,5250449
4dpARuHxo51G3z768sgnrY,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,59252024
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",90,11904869
3GCo22R8vSTHqSP5mYM1E7,AJ Dispirito,[],63,82167
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",79,8474596
7HqrSDuI9lHuH1CDismTFg,AZ,"['alternative hip hop', 'hardcore hip hop', 'hip hop']",56,380953
6mEQK9m2krja6X1cfsAjfl,Ado,['japanese teen pop'],75,5036064
26VFTg2z8YR0cCuwLzESi2,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",82,21728619
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",84,22654364
19I4tYiChJoxEO5EuviXpz,AFI,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo']",62,932666
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",87,8102085
0LcJLqbBmaGUft1e9Mm8HV,ABBA,"['europop', 'swedish pop']",82,12971423
0z4gvV4rjIZ9wHck67ucSV,Akon,['dance pop'],83,4972432
5GyVJzooUpg9hZonyyIEfI,ARO,[],21,7886
6lcwlkAjBPSKnFBZjjZFJs,Alex G,"['philly indie', 'pov: indie', 'slacker rock']",78,2480125
3HLrEfEtB8wI5O1qYtDADS,A.lostfield,[],10,865
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,"['filmi', 'modern bollywood']",91,124356401
7DICBAYiaIMh5MulqwCtET,AK,[],48,153693
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,"['escape room', 'hip hop', 'indie soul', 'neo soul']",79,2582550
50co4Is1HCEo8bhOyUWKpn,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",85,10530350
54gWVQFHf8IIqbjxAoOarN,AOA,"['k-pop', 'k-pop girl group']",54,758705
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,"['neo soul', 'pop', 'r&b']",80,12123008
4SsVbpTthjScTS7U2hmr1X,Arcángel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",84,15398008
6YVMFz59CuY7ngCxTxjpxE,aespa,['k-pop girl group'],80,6598074
1qto4hHid1P71emI6Fd8xi,Aventura,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82,8842735
7M5pDtJpCdnftEQZtczYco,Ayesha Erotica,[],72,1310248
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']",75,5318259
6iXUnitOtnZ6ewUlJbfSCD,APollo7,[],0,38
4mxWe1mtYIYfP040G38yvS,Alan Jackson,['country'],74,2874470
2oQX8QiMXOyuqbcZEFsZfm,El Alfa,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']",79,3671433
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,[],80,951124
3HBxYEtI2i43MzWyTXupVv,A,['british alternative rock'],30,17263
1vCWHaC5f2uS3yhpwWbIA6,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",82,23061293
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,"['gen z singer-songwriter', 'singer-songwriter pop']",78,578102
10FkbDQFjWJJBZQ7EEpt8Q,Â,[],12,239
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",89,116432344
6oxx7e9b265qJCMCdhHUl6,Å,[],3,389
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,['alternative metal'],78,8805968
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,"['dance pop', 'pop']",79,8508015
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop']",78,11306706
5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,"['baroque', 'classical', 'early music', 'german baroque']",78,4460604
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,"['british soul', 'neo soul']",79,9138921
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,"['dance pop', 'pop']",79,12212054
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,['pop'],80,7122613
5xYNmNkaWRqu3e5F4UXME8,Alfredo Olivas,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']",81,9113630
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,['electro house'],82,39555570
4aKWmkWAKviFlyvHYPTNQY,Adrianne Lenker,"['countrygaze', 'indie pop', 'small room']",73,659975
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,"['alt z', 'pop', 'pov: indie']",76,5243739
23zg3TcAtWQy7J6upgbUnj,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",83,12206392
0eVyjRhzZKke2KFYTcDkeu,The Alchemist,"['alternative hip hop', 'drumless hip hop', 'hip hop', 'instrumental hip hop', 'west coast rap']",73,734167
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",76,14664985
7FNnA9vBm6EKceENgCGRMb,Anitta,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']",82,12691293
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,"['banda', 'musica mexicana', 'norteno']",81,7331446
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",73,3881455
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,"['desi hip hop', 'filmi', 'tamil hip hop']",86,32927289
2auC28zjQyVTsiZKNgPRGs,RM,['k-rap'],79,17108333
4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,"['classical', 'classical era']",76,5524907
2rwALQ1SXdfUWPUd6WOfYS,Aaron May,['conscious hip hop'],71,558091
4AVFqumd2ogHFlRbKIjp1t,Alesso,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",77,3934329
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,['afrobeats'],79,3689825
5FnG9lLegyiFtLtZG2XLQ4,Ã,[],0,15
68KmkJeZGfwe1OUaivBa2L,ATEEZ,"['k-pop', 'k-pop boy group']",74,4264637
4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,"['alternative metal', 'metalcore', 'neon pop punk', 'pop punk', 'screamo']",70,2376265
5QNm7E7RU2m64l6Gliu8Oy,HARDY,"['contemporary country', 'modern country pop']",76,1127848
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,['social media pop'],74,387746
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,['pop'],79,12074140
21E3waRsmPlU7jZsS13rcj,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",83,9167625
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,['alt z'],85,2633197
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",90,23757875
7EKU6tinAyODDKWhcKBa1n,Ā,[],0,8
